,imdb_title_id,title,year,genre,country,language,director,description,weighted_average_vote,total_votes,mean_vote,median_vote,males_18age_avg_vote,males_30age_avg_vote,males_45age_avg_vote,females_18age_avg_vote,females_30age_avg_vote,females_45age_avg_vote,keywords,bag_of_words
54739,tt1302011,Kung Fu Panda 2,2011,"['animation', 'action', 'adventure']",['usa'],English,['jenniferyuhnelson'],"Po and his friends fight to stop a peacock villain from conquering China with a deadly new weapon, but first the Dragon Warrior must come to terms with his past.",7.2,247095.0,7.4,7.0,7.4,7.2,7.0,7.2,7.2,7.2,"['dragon', 'warrior', 'must', 'come', 'peacock', 'villain', 'deadly', 'new', 'weapon', 'po', 'first', 'terms', 'stop', 'conquering', 'china', 'past', 'friends', 'fight']",animation action adventure usa jenniferyuhnelson dragon warrior must come peacock villain deadly new weapon po first terms stop conquering china past friends fight 
58370,tt1655441,Adaline - L'eterna giovinezza,2015,"['drama', 'fantasy', 'romance']","['usa', 'canada']","English, Portuguese, Italian",['leetolandkrieger'],"A young woman, born at the turn of the 20th century, is rendered ageless after an accident. After many solitary years, she meets a man who complicates the eternal life she has settled into.",7.2,150664.0,7.5,7.0,7.3,7.0,7.1,7.5,7.2,7.4,"['complicates', 'many', 'solitary', 'years', 'man', 'turn', 'eternal', 'life', 'young', 'woman', 'accident', '20th', 'century', 'settled', 'rendered', 'ageless', 'meets', 'born']",drama fantasy romance usa canada leetolandkrieger complicates many solitary years man turn eternal life young woman accident 20th century settled rendered ageless meets born 
41150,tt0332452,Troy,2004,"['drama', 'history']","['usa', 'malta', 'uk']",English,['wolfgangpetersen'],"An adaptation of Homer's great epic, the film follows the assault on Troy by the united Greek forces and chronicles the fates of the men involved.",7.2,479687.0,7.4,7.0,7.5,7.2,6.9,7.5,7.0,7.0,"['fates', 'assault', 'united', 'greek', 'forces', 'great', 'epic', 'film', 'follows', 'men', 'involved', 'troy', 'chronicles', 'adaptation', 'homer']",drama history usa malta uk wolfgangpetersen fates assault united greek forces great epic film follows men involved troy chronicles adaptation homer 
39321,tt0289765,Red Dragon,2002,"['crime', 'drama', 'thriller']","['germany', 'usa']","English, French",['brettratner'],"A retired FBI agent with psychological gifts is assigned to help track down ""The Tooth Fairy"", a mysterious serial killer. Aiding him is imprisoned forensic psychiatrist Dr. Hannibal ""The Cannibal"" Lecter.",7.2,246522.0,7.3,7.0,7.4,7.2,7.0,7.6,7.3,7.2,"['cannibal', 'hannibal', 'mysterious', 'serial', 'killer', 'help', 'track', 'lecter', 'aiding', 'psychological', 'gifts', 'retired', 'fbi', 'agent', 'imprisoned', 'forensic', 'psychiatrist', 'dr', 'tooth', 'fairy', '"",', 'assigned']","crime drama thriller germany usa brettratner cannibal hannibal mysterious serial killer help track lecter aiding psychological gifts retired fbi agent imprisoned forensic psychiatrist dr tooth fairy "", assigned "
41204,tt0335345,La passione di Cristo,2004,['drama'],['usa'],"Aramaic, Latin, Hebrew",['melgibson'],"Depicts the final twelve hours in the life of Jesus of Nazareth, on the day of his crucifixion in Jerusalem.",7.2,212350.0,7.3,8.0,7.2,7.0,7.2,7.3,7.1,7.6,"['crucifixion', 'day', 'nazareth', 'depicts', 'final', 'twelve', 'hours', 'jerusalem', 'jesus', 'life']",drama usa melgibson crucifixion day nazareth depicts final twelve hours jerusalem jesus life 
55046,tt1327773,The Butler - Un maggiordomo alla Casa Bianca,2013,"['biography', 'drama']",['usa'],English,['leedaniels'],"As Cecil Gaines serves eight presidents during his tenure as a butler at the White House, the civil rights movement, Vietnam, and other major events affect this man's life, family, and American society.",7.2,106839.0,7.3,7.0,7.2,7.0,7.0,7.6,7.4,7.6,"['man', 'american', 'society', 'major', 'events', 'affect', 'cecil', 'gaines', 'serves', 'eight', 'presidents', 'vietnam', 'white', 'house', 'life', 'tenure', 'butler', 'family', 'civil', 'rights', 'movement']",biography drama usa leedaniels man american society major events affect cecil gaines serves eight presidents vietnam white house life tenure butler family civil rights movement 
66174,tt2763304,T2 Trainspotting,2017,['drama'],['uk'],"English, Bulgarian, Scots",['dannyboyle'],"After 20 years abroad, Mark Renton returns to Scotland and reunites with his old friends Sick Boy, Spud, and Begbie.",7.2,109887.0,7.3,7.0,7.4,7.1,7.0,7.5,7.2,7.2,"['20', 'years', 'abroad', 'spud', 'reunites', 'begbie', 'scotland', 'mark', 'renton', 'returns', 'old', 'friends', 'sick', 'boy']",drama uk dannyboyle 20 years abroad spud reunites begbie scotland mark renton returns old friends sick boy 
39779,tt0298148,Shrek 2,2004,"['animation', 'adventure', 'comedy']",['usa'],English,"['andrewadamson', 'kellyasbury']","Shrek and Fiona travel to the Kingdom of Far Far Away, where Fiona's parents are King and Queen, to celebrate their marriage. When they arrive, they find they are not as welcome as they thought they would be.",7.2,410089.0,7.3,7.0,7.3,7.1,7.2,7.4,7.3,7.3,"['kingdom', 'far', 'away', 'king', 'parents', 'celebrate', 'find', 'thought', 'would', 'fiona', 'arrive', 'queen', 'marriage', 'welcome', 'shrek', 'travel']",animation adventure comedy usa andrewadamson kellyasbury kingdom far away king parents celebrate find thought would fiona arrive queen marriage welcome shrek travel 
41947,tt0357413,Anchorman - La leggenda di Ron Burgundy,2004,['comedy'],['usa'],"English, French, Spanish",['adammckay'],"Ron Burgundy is San Diego's top-rated newsman in the male-dominated broadcasting of the 1970s, but that's all about to change for Ron and his cronies when an ambitious woman is hired as a new anchor.",7.2,324712.0,7.3,7.0,7.3,7.2,6.7,6.9,6.9,6.5,"['rated', 'newsman', 'hired', 'change', 'male', 'cronies', 'dominated', 'broadcasting', '1970s', 'ron', 'ambitious', 'woman', 'san', 'diego', 'new', 'anchor', 'top', 'burgundy']",comedy usa adammckay rated newsman hired change male cronies dominated broadcasting 1970s ron ambitious woman san diego new anchor top burgundy 
28254,tt0112851,Desperado,1995,"['action', 'crime', 'thriller']","['usa', 'mexico']","English, Spanish",['robertrodriguez'],Former musician and gunslinger El Mariachi arrives at a small Mexican border town after being away for a long time. His past quickly catches up with him and he soon gets entangled with the local drug kingpin Bucho and his gang.,7.2,168748.0,7.3,7.0,7.2,7.2,7.0,7.4,7.1,7.1,"['past', 'quickly', 'catches', 'soon', 'gets', 'entangled', 'gunslinger', 'el', 'mariachi', 'arrives', 'former', 'musician', 'small', 'mexican', 'border', 'town', 'gang', 'local', 'drug', 'kingpin', 'bucho', 'away', 'long', 'time']",action crime thriller usa mexico robertrodriguez past quickly catches soon gets entangled gunslinger el mariachi arrives former musician small mexican border town gang local drug kingpin bucho away long time 
45975,tt0455944,The Equalizer - Il vendicatore,2014,"['action', 'crime', 'thriller']",['usa'],"English, Russian, Spanish",['antoinefuqua'],"A man believes he has put his mysterious past behind him and has dedicated himself to beginning a new, quiet life, before he meets a young girl under the control of ultra-violent Russian gangsters and can't stand idly by.",7.2,325508.0,7.4,7.0,7.2,7.1,7.3,7.2,7.2,7.5,"['put', 'beginning', 'ultra', 'young', 'girl', 'man', 'believes', 'quiet', 'life', 'control', 'stand', 'idly', 'dedicated', 'mysterious', 'past', 'behind', 'new', 'meets', 'violent', 'russian', 'gangsters']",action crime thriller usa antoinefuqua put beginning ultra young girl man believes quiet life control stand idly dedicated mysterious past behind new meets violent russian gangsters 
42043,tt0360717,King Kong,2005,"['action', 'adventure', 'drama']","['newzealand', 'usa', 'germany']",English,['peterjackson'],"A greedy film producer assembles a team of moviemakers and sets out for the infamous Skull Island, where they find more than just cannibalistic natives.",7.2,384415.0,7.3,7.0,7.3,7.1,7.1,7.1,6.8,7.0,"['cannibalistic', 'natives', 'infamous', 'skull', 'island', 'moviemakers', 'team', 'find', 'sets', 'greedy', 'film', 'producer', 'assembles']",action adventure drama newzealand usa germany peterjackson cannibalistic natives infamous skull island moviemakers team find sets greedy film producer assembles 
55721,tt1399683,Un gelido inverno,2010,"['drama', 'mystery']",['usa'],English,['debragranik'],An unflinching Ozark Mountain girl hacks through dangerous social terrain as she hunts down her drug-dealing father while trying to keep her family intact.,7.2,133783.0,7.2,7.0,7.1,7.1,7.3,7.1,7.1,7.5,"['drug', 'dangerous', 'social', 'terrain', 'trying', 'keep', 'family', 'intact', 'hunts', 'dealing', 'father', 'unflinching', 'ozark', 'mountain', 'girl', 'hacks']",drama mystery usa debragranik drug dangerous social terrain trying keep family intact hunts dealing father unflinching ozark mountain girl hacks 
39554,tt0293508,Il fantasma dell'opera,2004,"['drama', 'musical', 'romance']",['uk'],"English, Italian",['joelschumacher'],A young soprano becomes the obsession of a disfigured and murderous musical genius who lives beneath the Paris OpÃ©ra House.,7.2,114669.0,7.7,8.0,7.0,6.9,6.9,7.8,7.6,7.7,"['paris', 'opã', '©', 'ra', 'house', 'murderous', 'musical', 'genius', 'lives', 'beneath', 'disfigured', 'young', 'soprano', 'becomes', 'obsession']",drama musical romance uk joelschumacher paris opã © ra house murderous musical genius lives beneath disfigured young soprano becomes obsession 
