,title,bag_of_words
49269,Frost/Nixon - Il duello,biography drama history uk france usa ronhoward dramatic retelling watergate television interviews show host british talk post 
56894,A Star Is Born,drama music romance usa bradleycooper young singer find fame career downward spiral age musician helps alcoholism send 
41202,Lost in Translation - L'amore tradotto,comedy drama usa japan sofiacoppola crossing paths unlikely bond tokyo neglected young woman form faded movie star 
40951,Coraline e la porta magica,animation drama family usa henryselick old girl finds another world frustrating home year sinister secrets adventurous 11 strangely idealized version 
40967,Man on Fire - Il fuoco della vendetta,action crime drama usa uk mexico switzerland tonyscott hired committed former cia operative swears vengeance family mexico city protect unspeakable act 
11088,Gli uccelli,drama horror mystery usa alfredhitchcock small northern california town attack people slowly takes turn potential boyfriend bizarre kinds suddenly begin birds wealthy san francisco socialite pursues 
16085,Mezzogiorno e mezzo di fuoco,comedy western usa melbrooks order corrupt politician appoints western town black sheriff formidable adversary promptly becomes ruin 
57834,Midnight in Paris,comedy fantasy romance spain usa france woodyallen fiancã © e trip midnight mysteriously going back family paris 1920s every day nostalgic screenwriter finds 
39914,Good Bye Lenin!,comedy drama romance germany wolfgangbecker fragile mother disappeared beloved nation learning 1990 long coma fatal shock protect east germany knew young man must keep 
34648,"Fratello, dove sei?",adventure comedy crime uk france usa joelcoen ethancoen hidden treasure three escaped convicts search 1930s deep south relentless lawman pursues 
15906,Serpico,biography crime drama italy usa sidneylumet honest new york cop named 
26041,Codice d'onore,drama thriller usa robreiner orders military lawyer lieutenant daniel kaffee defends marines accused murder contend acting 
40229,Neverland - Un sogno per la vita,biography drama family usa uk marcforster sir story 
31924,Training Day,crime drama thriller usa antoinefuqua first day rookie cop spends los angeles narcotics officer rogue detective appears 
50851,Argo,biography drama thriller usa uk benaffleck hollywood producer scouting location u science fiction film tehran dangerous operation hostage crisis 1979 cia agent launches rescue six americans acting iran cover 
49348,Ponyo sulla scogliera,animation adventure comedy japan hayaomiyazaki ponyo longs relationship year old boy develops love young goldfish princess five human falling become 
42550,The Bourne Supremacy,action mystery thriller usa germany paulgreengrass former life forced trained assassin survive resume jason bourne framed cia operation gone awry 
55795,Into Darkness - Star Trek,action adventure sci-fi usa j.j.abrams enterprise find one zone world captain kirk leads crew unstoppable force capture manhunt terror man weapon war mass destruction within organization 
37978,Black Hawk Down - Black Hawk abbattuto,drama history war usa uk ridleyscott 160 elite u heavily find capture two top lieutenants armed somalis desperate battle somalia soldiers drop large force renegade warlord 
42592,Kung Fusion,action comedy fantasy hongkong china usa stephenchow residents shanghai 1940s axe gang notorious join wannabe gangster aspires housing complex exhibit extraordinary powers turf defending china 
63642,La vita di Adele,drama romance france belgium spain abdellatifkechiche meets emma blue hair assert ultimately finds seeks adã ¨ le grows loses others love changed adult allow front loss discover desire woman life young 
38138,Il ladro di orchidee,comedy drama usa spikejonze adapt orchid thief tries fails lovelorn screenwriter becomes desperate 
42715,Crash: Contatto fisico,crime drama thriller usa germany paulhaggis los angeles citizens race loss vastly separate lives collide interweaving stories redemption 
75031,Deadpool 2,"action adventure comedy usa davidleitch team foul mouthed mutant mercenary wade wilson deadpool ), brings together k time young boy traveling cyborg cable protect brutal fellow rogues supernatural abilities "
56610,The Lego Movie,"animation action adventure usa denmark australia christophermiller phillord evil tyrant prophesied join lego universe stop gluing thought recruited eternal stasis quest ordinary construction worker special "", "
41724,Ray,biography drama music usa taylorhackford blues musician career story life legendary rhythm 
14625,Il braccio violento della legge,action crime drama usa williamfriedkin drug smuggling job french connection nyc cops pair narcotics bureau stumble onto 
38578,Mi chiamo Sam,drama usa jessienelson value custody cold mentally handicapped man fights family year old daughter love 7 hearted lawyer process teaches 
32811,"South Park - Il film: PiÃ¹ grosso, piÃ¹ lungo & tutto intero",animation comedy fantasy usa treyparker start cursing rated movie canada stan marsh r friends go see blame parents think 
77000,Roma,drama mexico alfonsocuarã³n maid class family year early 1970s life middle mexico city 
42085,L'uomo senza sonno,drama thriller spain france uk usa bradanderson sanity slept doubt year begins industrial worker 
56269,Gravity,drama sci-fi thriller uk usa mexico alfonsocuarã³n accident leaves two astronauts work together survive stranded space 
11556,Agente 007 - Missione Goldfinger,action adventure thriller uk guyhamilton fort knox gold reserve investigating magnate contaminate plot smuggling james bond uncovers 
74856,I segreti di Wind River,crime drama mystery uk canada usa taylorsheridan veteran hunter helps fbi agent investigate wyoming native american reservation murder young woman 
14577,Ispettore Callaghan: il caso 'Scorpio' Ã¨ tuo!!,action crime thriller usa donsiegel ferret menaces tough scorpio killer crazed psychopath dirty madman calling track harry callahan city nails san francisco police inspector assigned 
32476,Impiegati... male!,comedy usa mikejudge hate rebel three company workers jobs decide greedy boss 
23866,Chi ha incastrato Roger Rabbit,animation adventure comedy usa robertzemeckis richardwilliams cartoon rabbit hope innocence hating detective murder toon prove accused 
50815,(500) giorni insieme,comedy drama romance usa marcwebb offbeat romantic comedy believe true love exists woman young man falls 
41065,Harry Potter e il calice di fuoco,adventure family fantasy uk usa mikenewell magic distracted hazardous tournament rival schools recurring nightmares harry potter finds competing 
52371,Una notte da leoni,comedy usa germany toddphillips order way around find three buddies wake previous night memory bachelor party las vegas make wedding missing city friend 
22714,L'impero del sole,action drama history usa stevenspielberg young english boy struggles japanese occupation survive world war ii 
66319,Kingsman: Secret Service,action adventure comedy uk usa matthewvaughn twisted tech genius training program agency spy organisation recruits promising street kid global threat emerges 
27381,Clerks - Commessi,comedy usa kevinsmith lives discuss movies randal play hockey two convenience clerks named dante day store roof annoy customers 
46635,Ex Machina,drama sci-fi thriller uk alexgarland synthetic intelligence breaking experiment evaluating selected participate young programmer human qualities highly advanced humanoid ground 
21996,Velluto blu,drama mystery thriller usa davidlynch beautiful child discovery psychopathic criminals mysterious nightclub singer kidnapped young man severed human ear found group investigation related field leads 
45956,L'ultimo re di Scozia,biography drama history uk germany kevinmacdonald brutal ugandan dictator based events 
66940,La teoria del tutto,biography drama romance uk japan usa jamesmarsh famous physicist relationship look 
51689,Skyfall,action adventure thriller uk usa turkey sammendes haunt loyalty 007 must track threat personal destroy matter cost past comes back attack tested mi6 james bond 
47066,This Is England,crime drama uk shanemeadows relationships gang skinheads young boy becomes friends soon become like family limit pushed 
30718,La sottile linea rossa,drama war usa australia terrencemalick adaptation 
17531,Incontri ravvicinati del terzo tipo,drama sci-fi usa stevenspielberg roy neary ufo close encounter watches ordinary daily life turns upside quiet electric lineman 
39330,The Butterfly Effect,drama sci-fi thriller usa canada ericbress j.mackyegruber reading significant events remember evan treborn suffers blackouts supernatural way finds life grows journal alter lost memories 
66029,Fury,action drama war usa china uk davidayer 1945 april crew fight way across germany grizzled tank commander makes tough decisions 
58296,The Impossible,drama history thriller spain thailand usa j.a.bayona 2004 indian ocean tsunami tourist family thailand caught destruction story chaotic aftermath 
45915,Inside Man,crime drama mystery usa spikelee stakes negotiations brilliant heist spirals hostage situation police detective high criminal bank robber power broker enter 
48569,Sette anime,drama usa gabrielemuccino lives fateful secret embarks man redemption extraordinary journey seven strangers forever changing 
50224,The Reader - A voce alta,drama romance germany usa stephendaldry wwii germany older woman came former lover mysterious end crime trial encounters law student michael berg defends nearly affair post war decade 
39338,The Life of David Gale,crime drama thriller usa germany uk spain alanparker capital punishment sent murdering fellow activist man death row accused 
30602,Paura e delirio a Las Vegas,adventure comedy drama usa terrygilliam series oddball journalist psychedelic escapades las vegas psychopathic lawyer travel 
39282,28 giorni dopo,action drama horror uk spain dannyboyle handful survivors try incurable virus spreads throughout four weeks mysterious find sanctuary uk 
44078,Watchmen,action drama mystery usa zacksnyder know sprawling investigation uncovering something could completely change murder 1985 former superheroes exist course colleague sends active vigilante rorschach history 
68552,Sicario,action crime drama usa mexico hongkong denisvilleneuve u border area idealistic fbi agent drugs enlisted mexico aid escalating war government task force 
27399,Il corvo - The Crow,action drama fantasy usa alexproyas fiancã © e man brutally murdered comes back murder life undead avenger 
54795,50 e 50,comedy drama romance usa jonathanlevine learns 27 true story subsequent struggle year cancer diagnosis disease beat comedy centered old guy inspired 
70523,Guardiani della Galassia Vol. 2,action adventure comedy usa jamesgunn team father dealing personal family issues ambitious celestial guardians struggle notably star ego keep together lord encounter 
10336,Colazione da Tiffany,comedy drama romance usa blakeedwards young new york socialite becomes interested get moved past threatens man apartment building way 
26245,Mio cugino Vincenzo,comedy crime usa jonathanlynn one way back loudmouth lawyer trial experience murder help college call cousins rural alabama two new yorkers accused 
30656,Mulan,animation adventure family usa tonybancroft barrycook process father becomes one young maiden secretly goes death save place army greatest heroines china 
79014,C'era una volta a... Hollywood,comedy drama usa uk china quentintarantino stunt double strive final years achieve fame hollywood faded television actor success 1969 los angeles golden age 
22877,Arma letale,action crime thriller usa richarddonner order complete opposites must put aside catch differences drug smugglers gang two newly paired cops 
58961,Les MisÃ©rables,drama history musical uk usa tomhooper 19th agrees decades factory worker hunted care daughter lives forever breaking parole ruthless policeman javert jean valjean century france decision changes 
18517,Fuga da Alcatraz,action biography crime usa donsiegel possible successful attempt one alcatraz escaping infamous prisons time believed three daring men make world ever escape secure prison 
45810,Gone Baby Gone,crime drama mystery usa benaffleck kidnapping little girl two boston area detectives investigate professionally crisis personally ultimately turns 
49365,The Blind Side,biography drama sport usa johnleehancock first became story american football player caring woman family help homeless michael oher traumatized boy round nfl draft pick 
60819,The Raid - Redenzione,action thriller indonesia france usa garethevans w thugs killers team becomes trapped army ruthless mobster tenement run 
35845,Il nemico alle porte,drama history war ireland uk france germany usa jean-jacquesannaud game stalingrad russian battle cat german sniper play mouse 
44403,Harry Potter e il principe mezzosangue,action adventure family uk usa davidyates harry potter 
35253,Moulin Rouge!,drama musical romance australia usa bazluhrmann poet falls jealous duke covets beautiful courtesan 
24544,"Harry, ti presento Sally...",comedy drama romance usa robreiner friendship fear sex would ruin sally harry known years good friends 
2615,Biancaneve e i sette nani,animation family fantasy usa williamcottrell davidhand part wicked stepmother rescued seven dwarf miners princess dangerous forest make exiled household 
26664,La vita Ã¨ un sogno,comedy usa richardlinklater may 1976 adventures school junior high students last day 
44339,300,action drama usa canada bulgaria zacksnyder force sparta 480 b c 300 men fight king leonidas persians thermopylae 
47914,La promessa dell'assassino,action crime drama uk canada davidcronenberg midwife violent russian mob family dies could tie child childbirth leaves clues teenager living journal rape involving london 
70489,Baby Driver - Il genio della fuga,action crime drama uk usa edgarwright fail taking part crime boss coerced young getaway driver finds working heist doomed 
69677,Il ponte delle spie,drama history thriller germany india usa stevenspielberg arrested soviet spy defend exchange cold war francis gary powers help court recruited captured american u2 plane pilot cia facilitate lawyer 
23910,The Abyss,adventure drama mystery usa jamescameron enlisted face danger alien aquatic species search civilian diving team lost nuclear submarine encountering 
44336,Match Point,drama romance thriller uk usa ireland luxembourg france woodyallen brother turning point dating actress law life happens soon former tennis pro falls friend 
56569,The Greatest Showman,biography drama musical usa michaelgracey tells became rose spectacle visionary show business nothing create worldwide sensation celebrates birth 
48822,Suxbad: Tre menti sopra il pelo,comedy usa gregmottola booze soaked party goes awry dependent high school seniors forced stage deal plan two co separation anxiety 
43309,Saw - L'enigmista,horror mystery usa jameswan recollection soon discover awaken pawns notorious serial killer room got two strangers deadly game perpetrated 
40448,Love Actually - L'amore davvero,comedy drama romance uk usa france richardcurtis lives different couples frantic month dealing eight england christmas follows set london various loosely interrelated tales love 
23625,Una pallottola spuntata,comedy crime usa davidzucker assassinate attempt incompetent police detective frank drebin must foil 
75705,Train to Busan,action horror thriller southkorea sang-hoyeon passengers struggle busan train seoul south korea survive zombie virus breaks 
62320,Apes Revolution - Il pianeta delle scimmie,action adventure drama usa uk canada mattreeves devastating virus unleashed decade earlier growing nation human survivors threatened genetically evolved apes led band caesar 
80082,Searching,drama mystery thriller russia usa aneeshchaganty find old daughter goes missing clues look year 16 desperate father breaks laptop 
31423,Lola corre,crime drama thriller germany tomtykwer 100 botched money delivery 000 deutschmarks lola 20 minutes come 
22104,La mosca,drama horror sci-fi usa uk canada davidcronenberg one transform giant man experiments goes horribly wrong brilliant eccentric scientist begins fly hybrid 
26715,Un giorno di ordinaria follia,crime drama thriller france usa uk joelschumacher ordinary man frustrated society begins psychotically sees violently lash various flaws 
15879,Robin Hood,animation adventure comedy usa wolfgangreitherman davidhand humanoid animals characters story portrayed legendary outlaw 
48616,Storia di una ladra di libri,drama war usa germany brianpercival others stealing books adoptive parents young liesel finds solace world war ii germany sharing subjected horrors basement protected home jewish refugee 
43701,Lord of War,action crime drama usa germany france andrewniccol interpol agent chased arms dealer confronts work morality 
19617,Interceptor - Il guerriero della strada,action adventure sci-fi australia usa georgemiller small apocalyptic australian wasteland rich community escape cynical drifter agrees gasoline horde help bandits post 
55003,Cattivissimo me,animation comedy family usa france pierrecoffin chrisrenaud criminal mastermind uses orphan girls pawns grand scheme finds love profoundly changing better trio 
54911,A Single Man,drama romance usa tomford typical days boyfriend sudden death english professor cope unable 1960s los angeles one year 
54936,L'alba del pianeta delle scimmie,action drama sci-fi usa uk canada rupertwyatt chimpanzee substance designed gives advanced intelligence ape uprising leads help brain repair 
50342,Sherlock Holmes,action adventure mystery usa germany uk australia guyritchie wits battle detective sherlock holmes stalwart partner watson engage england brawn nemesis whose plot threat 
28093,Apollo 13,adventure drama history usa ronhoward lives three astronauts earth safely board jeopardy spacecraft undergoes massive internal damage putting return apollo 13 strategy nasa must devise 
28260,Die Hard - Duri a morire,action adventure thriller usa johnmctiernan plans targeted rob german terrorist simon gruber john mcclane harlem store owner new york city federal reserve building 
24245,La sirenetta,animation family fantasy usa ronclements johnmusker mermaid princess makes become human prince faustian bargain love attempt win 
40187,La 25Âª ora,drama usa spikelee year jail term seven life cornered 24 remaining hours facing dea convicted new york drug dealer montgomery brogan reevaluates 
24305,Un Natale esplosivo,comedy usa jeremiahs.chechik griswold family plans big christmas predictably turn disaster 
55757,Il Grinta,drama western usa ethancoen joelcoen father marshal help stubborn teenager enlists tough u track murderer 
34145,Minority Report,action crime mystery usa stevenspielberg officer able unit future commit crimes arrest murderers murder special police accused 
34165,Traffic,crime drama thriller usa mexico germany stevensoderbergh informant spearhead america drugs family business crack addict wife attempts discover conservative judge president appointed teenage daughter escalating war two dea agents protect jailed drug baron carry 
54131,Kick-Ass,action comedy crime uk usa china matthewvaughn one day decides unnoticed high school student dave lizewski powers training meaningful reason comic book fan superhero even though become 
69078,Oceania,animation adventure comedy usa ronclements johnmusker set things right seek ocean call island ancient polynesia terrible curse incurred demigod maui reaches moana answers 
36390,The Others,horror mystery thriller spain usa france italy uk alejandroamenã¡bar lives darkened old family house woman two photosensitive children becomes convinced haunted home 
53559,L'arte di vincere,biography drama sport usa bennettmiller oakland assemble lean budget employing computer general manager billy beane successful attempt generated analysis baseball team acquire new players 
24840,Caccia a Ottobre Rosso,action adventure thriller usa johnmctiernan november 1984 u soviet union heads start best submarine captain newest sub violates orders trying defect war 
51504,L'onda,drama thriller germany france dennisgansel social unit demonstrate high school teacher students control life forms experiment dictatorship spins horribly like 
32167,American Psycho,comedy crime drama usa canada maryharron workers co delves deeper alternate psychopathic ego friends hedonistic fantasies wealthy new york city investment banking executive hides violent patrick bateman 
21035,Indiana Jones e il tempio maledetto,action adventure usa stevenspielberg still part find mystical stone catacombs 1935 human sacrifices ancient palace stumbles upon british empire india asked indiana jones arrives secret cult committing enslavement 
69405,Gli Incredibili 2,animation action adventure usa bradbird must manage new mission mr incredible wife helen goes family roles save change world house involves elastigirl incredibles hero takes bob parr 
36804,Harry Potter e la pietra filosofale,adventure family fantasy uk usa chriscolumbus wizardry truth orphaned boy enrolls terrible evil family magical world school haunts learns 
29320,Strade perdute,mystery thriller france usa davidlynch inexplicably morphs sent party begins leading new life young mechanic murder wife gets released jazz saxophonist framed bizarre encounter prison stranger 
65564,Hell or High Water,action crime drama usa davidmackenzie order ex west texas ranch divorced father family save con older brother resort desperate scheme 
12822,Il libro della giungla,animation adventure family usa wolfgangreitherman jamesalgar leave panther bagheera convince boy human civilization difficult time trying jungle baloo bear 
23003,Un biglietto in due,comedy drama usa johnhughes travel home shower curtain ring salesman thanksgiving lovable oaf companion man must struggle 
49470,The Hurt Locker,drama thriller war usa kathrynbigelow handling squad mates due sergeant recently assigned work odds iraq war maverick way army bomb put 
47322,Stardust,adventure family fantasy uk usa matthewvaughn retrieve young man makes countryside town bordering magical land realm beloved fallen star promise venturing 
44884,Thank You for Smoking,comedy drama usa jasonreitman chief spokesman remain old son machinations nick naylor big tobacco trying twelve year role model behalf spins satirical comedy follows cigarettes 
67291,Creed - Nato per combattere,drama sport usa ryancoogler trainer former world heavyweight champion rocky balboa serves rival apollo creed mentor late friend adonis johnson son 
24834,"Mamma, ho perso l'aereo",comedy family usa chriscolumbus christmas vacation eight burglars family year old troublemaker must protect house accidentally left home alone pair 
53309,La pelle che abito,drama horror thriller spain pedroalmodã³var key creates brilliant plastic surgeon guinea pig holds past tragedies synthetic skin withstands damage volatile woman type mysterious kind haunted obsession 
60486,End of Watch - Tolleranza zero,action crime drama usa davidayer meet criminal forces greater film follows partners style friends two young police officers happens la shot documentary daily grind 
45455,The Illusionist - L'illusionista,drama fantasy history usa czechrepublic neilburger magician uses social standing abilities woman far century vienna turn love secure 
24803,Il padrino - Parte III,crime drama usa francisfordcoppola midst aging mafia italy business dealings 1979 sins legitimize avow trying taking michael corleone seeks wing nephew vincent mancini new york city 
38017,I Tenenbaum,comedy drama usa wesanderson roof various reasons eccentric members dysfunctional family reluctantly gather 
52886,Benvenuti a Zombieland,adventure comedy fantasy usa rubenfleischer zombie find toting tough guy trying last twinkie filled america gun travel across get family amusement park join forces ohio shy student sisters pair reach 
29895,Dark City,mystery sci-fi thriller australia alexproyas memories includes nightmarish world past man struggles cannot remember waking one else seems wife 
29540,Sleepers,crime drama thriller usa barrylevinson former guard gives sent detention center prank goes disastrously wrong chance revenge thirteen years later brutalized boys group unexpected random encounter 
29559,Primo contatto,action adventure drama usa jonathanfrakes first contact ensure borg travel back zefram cochrane makes alien species maiden flight reaching warp speed captain picard time intent crew pursue preventing earth 
38047,Battle Royale,action adventure drama japan kinjifukasaku grade students kill revolutionary act battle royale future class forces japanese government captures ninth 
36989,Y tu mamÃ¡ tambiÃ©n - Anche tua madre,drama mexico alfonsocuarã³n friendship sex learn life road trip two teenage boys attractive older woman embark thing mexico 
36097,Blow,biography crime drama usa mexico teddemme story 
48955,The Town,crime drama thriller usa benaffleck bring planning b balance crew next job bank manager connected bent f tries earlier heist feelings agent looking hell longtime thief 
75894,Il filo nascosto,drama romance usa uk paulthomasanderson young 1950s london reynolds woodcock strong renowned dressmaker whose fastidious life alma becomes muse set lover willed woman disrupted 
45382,Kung Fu Panda,animation action adventure usa markosborne johnstevenson martial arts bestowed upon dragon warrior mantle novice balance supposedly mistaken obese panda clash savage tai lung however china fate hangs 
23045,RoboCop,action crime sci-fi usa paulverhoeven force submerged memories ridden detroit crime powerful cyborg haunted dystopic terminally wounded cop returns 
41335,The Aviator,biography drama germany usa martinscorsese biopic depicting early years legendary director aviator 
27586,Intervista col vampiro,drama horror usa neiljordan hunger vampire tells betrayal love epic life story loneliness 
