,title,bag_of_words
53283,3 Idiots,"comedy drama india rajkumarhirani memories even rest world called idiots "". revisit long lost companion college days recall searching think differently two friends friend inspired "
7845,La finestra sul cortile,mystery thriller usa alfredhitchcock becomes convinced one bound photographer spies neighbors committed murder wheelchair apartment window 
3359,Il grande dittatore,comedy drama war usa charleschaplin dictator adenoid hynkel tries poor jewish barber expand regime empire avoid persecution 
60470,Django Unchained,drama western usa quentintarantino help wife german bounty hunter freed slave sets rescue brutal mississippi plantation owner 
21154,C'era una volta in America,crime drama usa italy sergioleone era jewish gangster returns thirty years later lower east side must confront ghosts regrets old life former prohibition manhattan 
71282,Avengers: Endgame,action adventure drama usa anthonyrusso joerusso devastating events 
72627,Spider-Man: Un nuovo universo,animation action adventure usa bobpersichetti peterramsey man threat realities spider five stop dimensions universe must join powered individuals teen miles morales becomes 
71281,Avengers: Infinity War,action adventure sci-fi usa anthonyrusso joerusso sacrifice defeat willing ruin puts end devastation avengers blitz powerful thanos universe allies must attempt 
9521,La donna che visse due volte,mystery romance thriller usa alfredhitchcock becoming obsessed former police detective juggles wrestling hauntingly beautiful woman personal demons 
34012,Requiem for a Dream,drama usa darrenaronofsky drug four coney island people shattered addictions run deep induced utopias 
5650,Ladri di biciclette,drama italy vittoriodesica son set bicycle find stolen war italy post working class man 
3598,Quarto potere,drama mystery usa orsonwelles meaning reporters scramble publishing tycoon charles foster kane death uncover rosebud '. final utterance following 
12064,Per qualche dollaro in piÃ¹,western italy spain westgermany sergioleone western outlaw intentions team two bounty hunters track 
60237,Una separazione,drama iran france australia asgharfarhadi moving stay child improve difficult decision married couple look life alzheimer another country disease deteriorating parent faced iran 
9935,L'appartamento,comedy drama romance usa billywilder romance letting man tries ensue company trysts apartment executives use complications rise 
21948,Aliens - Scontro finale,action adventure sci-fi usa uk jamescameron nostromo visited colonial marines impressive firepower enough rescued hypersleep colonized contact lost time moon deep salvage team ellen ripley 57 years 
15932,La stangata,comedy crime drama usa georgeroyhill ultimate con two grifters team pull 
9778,Intrigo internazionale,adventure mystery thriller usa alfredhitchcock foreign spies mistaken government agent new york city advertising executive goes group run 
28777,Toy Story - Il mondo dei giocattoli,animation adventure comedy usa johnlasseter boy room profoundly threatened new spaceman figure supplants cowboy doll top toy jealous 
19403,U-Boot 96,adventure drama thriller westgermany wolfgangpetersen claustrophobic world boredom boat sheer terror wwii german u filth 
81458,1917,drama war usa uk india spain canada china sammendes deliver race stop 1 april 6th regiment assembles message 1917 enemy territory time walking straight two soldiers wage war deep 600 men deadly trap assigned 
41284,Se mi lasci ti cancello,drama romance sci-fi usa michelgondry memories erased couple undergoes relationship turns sour medical procedure 
17387,Taxi Driver,crime drama usa martinscorsese urge violent action mentally unstable veteran works presidential campaign worker attempting underage prostitute sleaze fuels nighttime taxi driver liberate perceived decadence new york city 
187,Il monello,comedy drama family usa charleschaplin tramp cares jeopardy relationship abandoned child events put 
28158,Braveheart - Cuore impavido,biography drama history usa melgibson homeland king edward rebellion scottish warrior william wallace leads england tyranny free countrymen 
30001,Will Hunting - Genio ribelle,"drama romance usa gusvansant gift ., psychologist needs help mathematics life hunting find direction janitor "
20692,Scarface,crime drama usa briandepalma greed determined cuban immigrant takes succumbs 1980 miami drug cartel 
45187,Toy Story 3 - La grande fuga,animation adventure comedy usa leeunkrich woody convince care center instead andy leaves day attic right college toys mistakenly delivered abandoned return home 
10857,Lawrence d'Arabia,adventure biography drama uk davidlean story 
374,Metropolis,drama sci-fi germany fritzlang predicts mediate working class mastermind falls prophet differences futuristic city sharply divided planners love savior coming son 
26330,Le iene,crime drama thriller usa quentintarantino suspect one surviving criminals begin police informant simple jewelry heist goes horribly wrong 
14544,Arancia meccanica,crime drama sci-fi uk usa stanleykubrick go planned imprisoned conduct volunteers future sadistic gang leader aversion experiment 
931,M - Il mostro di DÃ¼sseldorf,crime mystery thriller germany fritzlang criminals join catch unable child manhunt german city murderer police 
20850,Amadeus,biography drama history usa france czechoslovakia italy milosforman success life troubles 
4475,La fiamma del peccato,crime drama film-noir usa billywilder insurance investigator seductive housewife murder fraud scheme talked suspicion representative lets arouses 
22746,Full Metal Jacket,drama war uk usa stanleykubrick bloody street fighting brutal boot camp training pragmatic u hue vietnam war dehumanizing effects marine observes fellow recruits 
20666,Il ritorno dello Jedi,action adventure fantasy usa richardmarquand second death star rescue han solo dark side without falling destroy rebels dispatch endor daring mission help darth vader back emperor jabba trap hutt luke struggles meanwhile 
7140,Cantando sotto la pioggia,comedy musical romance usa stanleydonen genekelly silent film production company cast make sound difficult transition 
13046,2001: Odissea nello spazio,adventure sci-fi uk usa stanleykubrick discovering find mysterious artifact buried beneath lunar surface origins intelligent supercomputer h mankind sets help 9000 quest l 
33497,American Beauty,drama usa sammendes daughter sexually frustrated suburban father best friend mid becoming infatuated life crisis 
42079,Bastardi senza gloria,adventure drama war germany usa quentintarantino theatre owner world war ii jewish u vengeful plans plan assassinate nazi leaders occupied france group soldiers coincides 
54173,La donna che canta,drama mystery war canada france denisvilleneuve last wishes mother middle east discover twins journey family history fulfill 
62343,Il sospetto,drama denmark sweden thomasvinterberg teacher lives innocent little lie lonely life struggling custody finds love brutally shattered receives good news slowly gets better new luck son 
35500,Snatch - Lo strappo,comedy crime uk usa guyritchie incompetent amateur robbers russian gangster unscrupulous boxing promoters violent bookmakers track priceless stolen diamond supposedly jewish jewelers fight 
35672,Il favoloso mondo di AmÃ©lie,comedy romance france germany jean-pierrejeunet discovers love justice decides paris innocent naive girl help along way amã © lie sense around 
23817,Il mio vicino Totoro,animation family fantasy japan hayaomiyazaki adventures wondrous forest spirits ailing mother two girls move country live nearby near 
16118,Chinatown,drama mystery thriller usa romanpolanski web adulterer finds caught murder private detective hired corruption expose deceit 
18799,Stalker,drama sci-fi sovietunion andreitarkovsky find zone room grants wishes area known guide leads two men 
9043,Il settimo sigillo,drama fantasy sweden ingmarbergman grim reaper black plague death life plays chess existence man seeks answers god 
16311,Monty Python e il Sacro Graal,adventure comedy fantasy uk terrygilliam terryjones king arthur 
42575,Batman Begins,action adventure usa uk christophernolan fight ridden gotham city batman begins mentor training free crime corruption 
7689,Il delitto perfetto,crime thriller usa alfredhitchcock tennis player tries learning murder wife arrange affair 
26457,Gli spietati,drama western usa clinteastwood retired old west gunslinger william munny 
24177,Indiana Jones e l'ultima crociata,action adventure usa stevenspielberg father professor henry jones 1938 sr indiana jr holy grail finds goes missing pursuing 
41607,Il castello errante di Howl,animation adventure family japan hayaomiyazaki self unconfident young woman chance legged breaking cursed spell lies spiteful witch old body indulgent yet insecure wizard walking castle companions 
51294,Up,animation adventure comedy usa petedocter bobpeterson inadvertently taking old carl fredricksen travels house equipped young stowaway year paradise falls balloons 78 
11009,Il buio oltre la siepe,crime drama usa robertmulligan atticus finch prejudice depression undeserved rape charge era south black man defends children lawyer 
30118,L.A. Confidential,crime drama mystery usa curtishanson corruption grows series brand laced investigate 1950s los angeles justice one strait brutal three policemen sleazy murders 
